"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","umd_tree_cover_loss_from_fires__ha"
"ESP",2014,74226.432203445479967870,9078.636278424638122157
"EST",2014,23576.608825551290859364,51.043966568700093922
"ETH",2014,32725.07263347249182951,53.65155451793592519
"FIN",2014,186629.014123027245419212,1225.815909599496507795
"FJI",2014,3688.94137584865693017,359.73637164462486127
"FRA",2014,44359.113183975492578274,695.661108283886526361
"GAB",2014,48752.34078366541111395,302.84388207995052251
"GBR",2014,30369.567300922856873128,513.864550067565123002
"GEO",2014,113.741013190713984124,14.792345643320309805
"GGY",2014,0.20103253261718751,0.0
"GHA",2014,120205.46322005233229982,47.92106316630046057
"GIN",2014,132716.27431198636965599,164.76633402478822868
"GLP",2014,198.11759453083460543,4.65499653079969657
"GMB",2014,17.463359957087681,0.0
"GNB",2014,12858.62698535400692497,1.65837383742513019
"GNQ",2014,19211.71451981610516314,43.98600917088107835
"GRC",2014,3803.211728953801751714,1199.423825919439668034
"GRD",2014,83.83836114644640941,0.67676460217556428
"GTM",2014,61883.47110172886107395,2591.28724166232301756
"GUF",2014,4195.61710761457810902,223.11599703898709853
"GUY",2014,12154.00353475314289773,831.62213068477377765
"HND",2014,57482.88436255964479846,3691.40069592131988973
"HRV",2014,4559.485734246148178991,70.95402373744140341
"HTI",2014,3858.86579151854227401,120.81825378891494631
"HUN",2014,15135.418650694292457980,52.730742304952257766
"IDN",2014,1894358.95902102568660137,230624.52585493630022843
"IMN",2014,86.05011443989149722,5.90767977865451401
"IND",2014,132071.85656563284901226,1193.62109756309683111
"IRL",2014,5719.062912221159624699,35.324190101128471219
"IRN",2014,77.58861401030381965,24.08332742249132351
"IRQ",2014,1.494315228210720645,0.06212897571614584
"ISR",2014,122.08486946058042697,6.38975886243055612
"ITA",2014,19831.910179315618806844,1265.428054426322679579
"JAM",2014,2837.97718984787570821,192.88627046253895513
"JEY",2014,0.6077478121614583,0.0
"JOR",2014,0.84782063878906245,0.39132999811523439
"JPN",2014,28175.541386495951615069,284.440363860825758330
"KAZ",2014,595.715817997326486169,85.420202430006422864
"KEN",2014,15356.83925976292049723,108.20639424993926411
"KGZ",2014,13.50969179257161378,13.110748023821613
"KHM",2014,161841.65693291073557989,392.72908501083064107
"KNA",2014,3.97250066096245698,0.0
"KOR",2014,13426.409608846850752760,204.525945299244804774
"LAO",2014,243826.33572169250991949,256.65739151654893268
"LBN",2014,159.88442052195204440,35.74916027582140987
"LBR",2014,164048.58221831456002786,582.14600077207691758
"LBY",2014,4.41391384775173612,1.6876062065950523
"LCA",2014,41.09592468337131134,0.67232498126247839
"LIE",2014,2.89863166058593772,0.0
"LKA",2014,12350.59718251161429572,120.46197232773977968
"LSO",2014,12.47074464811306467,0.0
"LTU",2014,15972.188404164952031445,62.682410005829010794
"LUX",2014,429.600982930069456369,0.79895790795138889
"LVA",2014,32203.164528099968273253,72.937965582089843355
