"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"AGO",2001,4957.52125232632907688,3180787.037354872198374
"ARG",2001,5979.95461381806178115,2342089.614865744265674
"AUS",2001,0.07592236710015192,142.65925846096894
"BDI",2001,6.22292964949001751,3350.033429332605695
"BES",2001,0.1469319746592882,113.49912121387969
"BGD",2001,384.77334921171992118,245110.63067025234619
"BHS",2001,0.28678775083984374,49.482317191815872
"BLZ",2001,1272.15088350485631526,617654.471835484568103
"BOL",2001,36517.33844351501385695,20420480.6992294688506434
"BRA",2001,465525.97231393651317903,300511481.272029243138179
"BRN",2001,256.08653660094796812,203605.110559247953809
"BTN",2001,69.41099623881294307,47188.470843285366531
"CAF",2001,3939.63629390936852761,2797190.397990335563468
"CHN",2001,867.27425443812285036,495996.790854037117718
"CIV",2001,14048.50991599636379965,6422040.148207077805805
"CMR",2001,8286.75606657633954879,5418362.186009543823885
"COD",2001,92019.83365892222310703,66069813.739753946147311
"COG",2001,7399.06647196844018571,4789289.481890866386690
"COL",2001,24058.84128818705015926,15562547.446594439156671
"CRI",2001,522.82966407001518231,318489.418010214178131
"CUB",2001,475.24672877172072650,144920.21140488060058284
"CYM",2001,2.24888464985785631,592.610156494170519
"DMA",2001,5.04974570282118114,2984.328247426061825
"DOM",2001,235.77704186081709252,103310.068932368991416
"ECU",2001,4726.19348739989569383,3277560.296821545590539
"ETH",2001,1399.27059449023123517,945566.363861421416639
"FJI",2001,12.56193164559895778,6779.651052638383975
"GAB",2001,5117.83666954909899645,3278099.052814465798124
"GHA",2001,1696.35692723990548660,828078.545862034942160
"GIN",2001,287.89915564443296873,153230.2255387661433917
"GLP",2001,3.1064585997998048,1803.69892168232003
"GNB",2001,8.52683887830675077,2668.032069070441304
"GNQ",2001,603.26105603142168240,387625.688166731715049
"GTM",2001,3967.84342449732901108,2237086.831003134429427
"GUF",2001,901.77611951122825115,740608.615110632872815
"GUY",2001,1834.78657925390596079,1271881.258271667062392
"HND",2001,4747.46372050828670620,2788389.9343544000402875
"HTI",2001,9.89033936289062636,4732.903466985978626
"IDN",2001,114393.86503171675257584,110822630.991688992318627
"IND",2001,4436.45403862415230976,3035656.253715780236233
"JAM",2001,89.57468488645834731,55080.003641995062298
"KEN",2001,2390.69343360198304394,1421846.690054288116746
"KHM",2001,8890.22003364705245048,5341539.740016040517938
"KNA",2001,1.98641194428059904,1118.73306847902973
"LAO",2001,10259.68649796362979092,6538402.222678936125186
"LBR",2001,2080.43486211133559932,1135895.564240197841339
"LCA",2001,1.04632296464463969,649.72532513906521
"LKA",2001,115.83366713140210503,53025.51012975412650
"MAF",2001,0.43937747833441842,178.21448981588687
"MDG",2001,21193.78309873169147633,12824846.468014638205709
"MDV",2001,0.07640892191650392,0.0
"MEX",2001,8055.03857110392564845,4052503.2059975728871195
"MMR",2001,9308.13783060656053033,5969293.5839941212387760
"MOZ",2001,47.94843722824815090,24982.276174598230490
"MSR",2001,0.44252670263237849,243.03997752844215
"MTQ",2001,1.56420304559570322,886.67585478780063
"MWI",2001,2.52992412338650197,1416.85155185565554
"MYS",2001,24071.03173792701022844,19591062.814308199308074
"NGA",2001,3494.91524358786833299,1438524.113099309229753
"NIC",2001,1852.85307283475638346,1126489.145455854140235
"NPL",2001,59.36401164300781506,37782.870067585852271
"PAN",2001,1188.84293430027110743,780851.841101447987635
"PER",2001,28695.53397477913306028,19914401.726883445600589
"PHL",2001,1655.06408471400999365,1209235.148040457333852
"PLW",2001,7.32442884702067145,5575.363494207928004
"PNG",2001,10238.09836848999980852,8634649.130961791311465
"PRI",2001,29.02792696137044758,17107.043452635482499
"PRY",2001,13533.81797036167306909,5339826.598202996921586
"RWA",2001,10.68536000877258384,6799.886426294491023
"SLB",2001,745.63212844315794967,588212.468271048647749
"SLE",2001,266.80736959211375496,147681.559264935880968
"SLV",2001,11.15520183661349820,6804.244206674896819
"SSD",2001,10.96986719427476725,6537.61846167847014
"SUR",2001,1144.89727470248834263,929813.938914029451612
"SXM",2001,0.07323942758246528,33.33213115469973
"TCA",2001,0.5720265906803386,128.92390451068206
"TGO",2001,2.44437867068060983,807.89450150728515
"THA",2001,2035.68548775114245810,1317635.574494977629567
"TTO",2001,83.47129334891382809,67327.121718036646894
"TWN",2001,62.83498421080403592,38711.827110481410385
"TZA",2001,1579.14805585026724347,981172.544394220778091
"UGA",2001,3741.81969841821302606,1909936.06293041440144
"USA",2001,33.53702004034620234,12862.166558343127728
"VCT",2001,0.07495259433865017,34.60588820570185
"VEN",2001,10432.59545529650105144,6147528.231183116944440
"VGB",2001,0.87699250704644096,420.64785404078055
"VIR",2001,0.43871009726454,178.26640201494563
"VNM",2001,12023.49419722953279859,7077647.791142746180061
"VUT",2001,17.42882615772244237,10182.19733446822553
"Z07",2001,1105.48802056500864158,708091.813028569505465
"ZAF",2001,54.06534504158854266,26472.067317877013151
"ZMB",2001,91.93893608351074131,45481.402698260495346
"ZWE",2001,8.99398214801649569,5041.92631633859794
"AGO",2002,3499.63627299536723222,2158371.041391216728210
"ARG",2002,9318.45821939031678767,3497319.092689819346660
"AUS",2002,0.60741974119194880,282.49959213418232
"BDI",2002,3.91871376533284548,2405.14274036388436
"BEN",2002,0.22913985083577476,75.21859285081219
"BGD",2002,619.40670645362066286,402099.888255673200778
"BHS",2002,0.21357198816189237,36.163806731711636
"BLZ",2002,5570.27996413942724016,2880679.113679259680746
"BOL",2002,70494.77878507185510402,37165181.181694096831059
"BRA",2002,1621738.19442358948163535,983072214.503510476924119
"BRN",2002,474.50766387612584928,372543.563556189223396
"BTN",2002,119.90976744171442208,78512.904577261895983
"CAF",2002,7005.03947054714318143,4746696.80451382058514
"CHN",2002,1823.23890451561137373,1100118.455384631488196
"CIV",2002,24188.70859243870209841,10730957.221311238920806
"CMR",2002,10611.83037139148972941,6951531.265652068659648
"COD",2002,168992.44006047401212192,119250875.299189634957680
"COG",2002,9973.61496922038103878,6488850.308892350634203
"COL",2002,63279.73757515272823439,39988660.094028770079680
"CRI",2002,752.99104371750765317,449358.619807033145009
"CUB",2002,2957.85876791069694138,322967.5540785773187215
"CYM",2002,0.79971454204752609,259.474745985383202
"DMA",2002,2.00395406994520411,1022.11025210303626
"DOM",2002,451.16381814680359015,196009.647671057339387
"ECU",2002,5707.73083196570778171,4282229.929286032397248
"ETH",2002,1569.22357377258419805,1009457.586360064913864
"FJI",2002,19.39814813145398721,10448.73576982821004
"GAB",2002,7001.69290382560814796,4445435.467997315864737
"GHA",2002,4435.28725268138203631,2068979.162911302524079
"GIN",2002,1100.62610566679065957,522523.449006538140749
"GLP",2002,2.7360277475786677,1593.18880409061861
"GNB",2002,137.31916150636392243,41071.6873504298195094
"GNQ",2002,1138.01324818058976586,744140.737735621593067
"GTM",2002,16077.21036493718984862,8526793.975296073005212
"GUF",2002,1628.44411660680033580,1323765.245130222555391
"GUY",2002,2824.67050435949492696,1985107.340679426222023
"HND",2002,7343.57958145660506184,4200856.027556361649776
"HTI",2002,17.43798238860460295,10437.852939155642983
"IDN",2002,271744.91385887218659277,270890855.4629581770780780
"IND",2002,8614.82306407107933892,5325749.447113999355733
"JAM",2002,280.45324809620554186,157426.437014678736745
"KEN",2002,2973.50172539877705082,1747777.340080376853437
"KHM",2002,18579.93223124395624657,10597932.941163708710238
"KNA",2002,3.01565209211914063,1450.857594790944475
"LAO",2002,13698.93301807129006473,8429393.4077701130965897
"LBR",2002,7330.37841642544941970,3875397.906895664249020
"LCA",2002,1.56965677697048617,826.80568360481969
"LKA",2002,524.16033899299287152,220242.709651983450355
"MAF",2002,2.9291831281445323,1134.2590786212121
"MDG",2002,27044.85135033701590927,15915883.602816592401843
"MEX",2002,14336.55337263129465083,6541414.290399925316648
"MMR",2002,12938.64357354007222665,8098243.005106061520401
"MOZ",2002,143.56074946575957754,65615.841540577120796
"MSR",2002,0.7376942802625869,415.40821894105935
"MTQ",2002,2.7554438720713978,1558.7348534110780
"MWI",2002,2.34375248692599822,1105.39805675196021
"MYS",2002,61830.25539132166005501,50203063.206266441193328
"NGA",2002,6131.77328692166419625,2428814.873439198391062
"NIC",2002,5753.62261706570850299,3434432.8192909566604355
"NPL",2002,169.53432575406248145,109817.447857002812463
"PAN",2002,1890.25285868781943112,1194126.659236028620551
"PER",2002,46063.89450106818108789,31226962.025497468798405
"PHL",2002,3498.84176284211167885,2507369.462053470661956
"PLW",2002,26.70128954037028293,21074.066874331734107
"PNG",2002,23529.78773425075806473,20003723.099016683577509
"PRI",2002,39.40240780962239636,21909.611995461031805
"PRY",2002,50507.54833582592560805,18538224.514383131097708
"RWA",2002,4.53482884819837791,2850.89124131678359
"SEN",2002,0.22541461602593318,54.181667113934820
"SGP",2002,0.07691609050923666,37.54891058520569
"SLB",2002,2128.72032747426451961,1666846.474404192600050
"SLE",2002,250.36236488640627752,118252.838215039745128
"SLV",2002,52.86365358356987846,35759.323951857002350
"SSD",2002,54.32513209019353222,34188.147508283507214
"SUR",2002,1931.78854082989583680,1538521.683561585280307
"SXM",2002,0.14647448469184027,43.54752087362647
"TGO",2002,2.4444999968221028,726.30324081082646
"THA",2002,3855.24310405211714149,2440764.624692024299978
"TTO",2002,73.19418375282173568,42533.073312551370137
"TWN",2002,120.65240410738283666,72602.45867677627134
"TZA",2002,843.40135033792790193,474790.793357309753458
